ACK,Acknowledgement
ACL,Access control list
ADSL,Asymmetric digital subscriber line
AES,Advanced Encryption Standard
ANSI,American National Standards Institute
API,Application Programming Interface
ARP,Address Resolution Protocol
ATM,Asynchronous Transfer Mode
BGP,Border Gateway Protocol (routing protocol)
BSS,Basic service set (Wi-Fi)
CAT,Category (e.g. CAT-5 cable)
CCITT (obs.),Standards organization that has been replaced by ITU-T
CHAP,Challenge-Handshake Authentication Protocol (PPP)
CIDR,Classless Inter-Domain Routing
CIR,Committed Information Rate (Frame Relay)
CLI,Command line interpreter
CPE,Customer premises equipment
CPU,Central processing Unit
CRC,Cyclic redundancy check
CRC-16-CCITT,Cyclic redundancy check (X.25, HDLC)
CRT,Cathode Ray Tube
CSMA/CA,Carrier sense multiple access / collision avoidance
CSMA/CD,Carrier sense multiple access / collision detection
CSU/DSU,Channel service unit / data service unit
CMOS,Complementary metal-oxide semiconductor
DAM,Database activity monitoring
DAM,Digital asset management
DCE,Data communications equipment
DEC (obs.),Digital Equipment Corporation
DES,Data Encryption Standard (obs. See AES)
DHCP,Dynamic Host Configuration Protocol
DIMM,Dual In-line Memory Module
DNS,Domain Name System
DRAM,Dynamic random-access memory
DSL,Digital subscriber line
DSLAM,Digital subscriber line access multiplexer
DTE,Data Terminal Equipment
DMI,Desktop Management Interface
EHA,Ethernet Hardware Address (MAC address)
EIA,Electronics Industry Alliance
EIGRP,Enhanced Interior Gateway Routing Protocol
EOF,"End Of Frame (HDLC, etc.)"
ESS,Extended service set (Wi-Fi group)
FCC,Federal Communications Commission (US)
FCS,Frame check sequence (Ethernet)
FDDI,Fiber Distributed Data Interface
FTP,File Transfer Protocol
GBIC,Gigabit interface converter
gbps,Gigabit per second
GEPOF,Gigabit Ethernet (over) Plastic Optical Fiber
HDLC,High-level Data Link Control
HTTP,HyperText Transfer Protocol
HTTPS,HyperText Transfer Protocol Secure
IANA,Internet Assigned Number Authority
ICaaS,Integration Capability as a Service
ICMP,Internet Control Message Protocol
IDF,Intermediate distribution frame
IDS,Intrusion Detection System
IEEE,Institute for Electrical and Electronic Engineers
IETF,Internet Engineering Task Force
IMAP,Internet Message Access Protocol
IP,Internet Protocol
IPS,Intrusion prevention system
IS-IS,Intermediate System to Intermediate System (routing protocol)
ISDN,Integrated Services Digital Network
ISP,Internet service provider
ITU-T,International Telecommunications Union
kbps,Kilobit per second
LACP,Link Aggregation Control Protocol
LAN,Local area network
LAPB,"Link Access Procedure, Balanced (x.25)"
LAPF,Link-access procedure for frame relay
LLC,Logical link control
MAC,Media access control
MAM,Media access management (related to Digital asset management)
MAN,Metropolitan area network
Mbps,Megabits per second
MC,Multiple choice
MDF,Main distribution frame
MIB,Management information base (SNMP)
MoCA,Multimedia over Coax Alliance
MPLS,Multiprotocol Label Switching
MTU,Maximum Transmission Unit
NAC,Network access control
NAT,Network Address Translation
NBMA,Non-Broadcast Multiple Access (e.g. Frame Relay ATM)
NIC,Network Interface Card
NRZ,Non-return-to-zero
NRZI,Non-return to zero inverted
NVRAM,Non-volatile RAM
OSI,Open System Interconnect (joint ISO and ITU standard)
OSPF,Open Shortest Path First (routing protocol)
OUI,Organization Unique Identifier
PAP,Password authentication protocol
PAT,Port address translation
PC,Personal computer (host)
PIM,Personal information manager
PIM,Privileged Identity Management
PCM,Pulse-code modulation
PDU,"Protocol data unit (such as segment, packet, frame, etc.)"
POP3,"Post Office Protocol, version 3"
POP,Point of presence
POST,Power-on self test
POTS,Plain old telephone service
PPP,Point-to-point Protocol
PPTP,Point-to-Point Tunneling Protocol
PTT,Public Telephone and Telegraph
PVST,Per-VLAN Spanning Tree
RADIUS,Remote Authentication Dial-In User Service
RAM,Random Access Memory
RARP,Reverse ARP
RIMM,Rambus In-line Memory Module
RFC,Request for Comments
RIP,Routing Information Protocol
RLL,Run-Length Limited
ROM,Read-Only Memory
RSTP,Rapid Spanning Tree Protocol
RTP,Real-time Transport Protocol
RCP,Royal College of Physicians
SDLC,Synchronous Data Link Control
SDN,Software Defined Networking
SFD,"Start-of-frame delimiter (Ethernet, HDLC, etc.)"
SFP,Small form-factor pluggable
S-HTTP,Secure HTTP (rarely used)
SLARP,Serial Line ARP (Address Resolution Protocol)
SLIP,Serial Line Internet Protocol (obs.)
SIMM,Single In-line Memory Module
SMTP,Simple Mail Transfer Protocol
SNA,Systems Network Architecture (IBM)
SNAP,SubNet Access Protocol
SNMP,Simple Network Management Protocol
SOF,Start of frame
SRAM,Static random access memory
SSH,Secure shell
SSID,Service set identifier (Wi-Fi)
STP,Spanning Tree Protocol
SYN (TCP),Synchronization
TCP/IP,Transmission Control Protocol/Internet Protocol
TDM,Time-division multiplexing
TFTP,Trivial File Transfer Protocol
TIA,Telecommunications Industry Alliance
TOFU,Trust On First Use
UDP,User Datagram Protocol
USB,Universal Serial Bus
UTP,Unshielded twisted pair
VC,Virtual circuit
VLAN,Virtual local area network
VLSM,Variable-length subnet masking
VPN,Virtual private network
W3C,World Wide Web Consortium
WAN,Wide-area network
WEP,Wired Equivalent Privacy
Wi-Fi,IEEE 802.11 (Wi-Fi Alliance)
WPA,Wi-Fi Protected Access
www,World Wide Web
